idplot,station_field_number,fk_environments,fk_chem_comp,fk_sampling_history,fk_land_user_history,fk_carbon,land_ower,name,county,state,country,continent,conservation_unit_class,conservation_unit_name,previous_land_use,lat,log,relief,topography,soil_order,soil_suborder,bioma,vegetation_physignomia,vegetation_age,land_use,dem,hand
63,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
64,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
65,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
66,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
67,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
68,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
69,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
70,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
71,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
72,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
73,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
74,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
75,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
76,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
77,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
78,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
79,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
80,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
81,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
82,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
83,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
84,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
85,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
86,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
87,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
88,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
89,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
90,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
91,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
92,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
93,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
94,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
95,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
96,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
97,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
98,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
99,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
100,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
101,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
102,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
103,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
104,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
105,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
106,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
107,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
108,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
109,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
110,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
111,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
112,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
113,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
114,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
115,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
116,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
117,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
118,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
119,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
120,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
121,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
122,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
123,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
124,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
125,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
