"Station Field Number","PalmC","PalmD","Babassu","Tucum","TreeC","TreeD","Height","VC Height","DBH","VC DBH","BA","ShrubC","ShrubD","ShrubDBH","VC ShrubDBH","VC TSDBH","TSC","TotalD","NecroC","LitterC","FineNC","HerbC","AGC","SOC","Total C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","0.8742","10.0000","0.0000","0.0000","10.2984","407.7280","4.2805","43.9484","14.9652","30.0096","7.0246","6.0978","1280.0000","8.3830","19.0206","35.9845","16.3963","1697.7280","0.0000","0.7873","1.2553","0.0000","19.3131","46.1605","65.4736","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","30.3250","132.0000","0.0000","0.0000","47.6341","907.2257","10.0662","57.0796","17.7699","39.8548","10.6677","2.5789","240.0000","7.5970","21.6903","43.1646","50.2130","1279.2257","0.0000","1.8473","0.9081","0.1115","83.4049","37.2309","120.6358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","0.0907","1.0000","0.0000","0.0000","15.0855","279.1834","8.8727","37.5014","15.9259","39.8125","7.1553","9.1473","720.0000","8.6904","18.6186","43.0699","24.2328","1000.1834","0.0000","1.9652","11.4447","0.4061","38.1395","58.1887","96.3282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","14.9241","136.0000","0.0000","0.0000","35.0887","699.4559","6.2957","57.5780","31.2716","43.6909","12.9720","1.0238","160.0000","8.4670","2.1266","48.3913","36.1125","995.4559","1.1190","2.1568","1.9336","0.1085","56.3544","51.3172","107.6716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","0.8202","13.0000","0.0000","0.1161","3.5530","170.3928","4.4639","25.0870","13.2540","30.4298","5.5226","22.2898","3200.0000","7.6394","17.6303","38.1509","25.8427","3383.3928","0.2614","1.1474","1.4420","0.0959","29.6095","56.9899","86.5994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","6.1060","73.0000","0.0000","0.1742","5.2659","482.2725","5.0413","48.2820","14.1836","26.7219","3.1851","32.3747","2960.0000","8.0509","18.8952","37.9545","37.6407","3515.2725","0.3985","2.1905","2.4965","0.0352","48.8674","51.1695","100.0369","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","1.4462","5.0000","1.4462","0.0000","114.1749","672.5344","6.0789","59.6091","17.7843","87.9846","28.6388","0.6497","1680.0000","8.0941","18.5183","90.7183","114.8246","2357.5344","4.6154","1.5039","1.6576","0.2911","124.3388","28.4816","152.8204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","0.9120","10.0000","0.0000","0.0000","8.2252","870.0000","3.8247","16.9560","16.0030","17.5845","29.8544","0.3434","448.0000","3.8226","50.7742","50.7555","8.5687","1328.0000","18.6001","1.5999","4.6818","0.6114","34.9739","47.2965","82.2703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","40.1294","267.0000","0.0000","0.2792","30.0039","446.0000","9.5970","58.1259","17.9658","34.4697","10.5320","10.7615","1040.0000","8.2978","22.2774","40.6909","40.7654","1753.0000","0.0000","3.5059","2.9961","0.0697","87.4665","38.2580","125.7244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","24.4198","168.0000","0.0000","0.0000","12.5533","947.6393","7.1659","35.3184","15.7027","30.1641","6.4489","10.3772","1520.0000","8.3162","13.5083","37.5873","22.9305","2635.6393","1.2428","2.8141","0.1584","0.0153","51.5807","24.3488","75.9296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","3.0643","38.0000","0.0000","0.0000","11.5780","379.7280","5.6159","40.3204","16.3580","41.7195","5.7633","10.4973","2800.0000","6.5343","23.9894","59.6718","22.0752","3217.7280","0.6913","1.6952","1.8328","0.1995","29.5583","49.6408","79.1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","1.5275","16.0000","0.0000","0.0000","17.2942","517.3333","5.2100","47.8106","18.0625","27.6635","12.3476","3.5984","1222.2222","7.6500","20.3666","34.8287","20.8926","1755.5556","0.0000","4.2617","1.1824","0.0000","27.8641","43.0652","70.9293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","2.2364","27.0000","0.0000","0.0000","56.7183","416.1992","11.0517","58.2099","24.7326","38.7438","16.8521","1.3394","80.0000","9.8039","0.0000","39.5808","58.0577","523.1992","2.4154","3.2484","0.8771","0.5353","67.3702","32.2629","99.6331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","0.3627","4.0000","0.0000","0.0000","46.9150","301.6546","7.9333","72.3190","19.4435","74.5790","13.0976","4.3018","9840.0000","7.6082","20.6027","87.0465","51.2168","10145.6546","0.5633","4.0786","2.2571","0.0000","58.4785","43.4247","101.9032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","19.0224","137.0000","0.0000","0.0000","8.0178","1055.0000","3.8846","27.8629","24.8917","81.9907","7.5504","1.6789","1032.0000","4.6401","42.1068","111.3046","9.6967","2224.0000","0.0000","3.2450","0.1850","0.0000","32.1490","33.7645","65.9135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","38.9494","21.0000","38.9494","0.0000","0.0000","85.9791","16.5714","33.3577","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","106.9791","0.0000","1.2101","3.2979","1.5501","45.0075","19.7614","64.7688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","48.3569","25.0000","48.3569","0.0000","0.0000","102.3561","17.2000","16.6148","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","127.3561","0.0000","1.2101","8.4867","1.5501","59.6037","24.9522","84.5559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","13.6050","6.0000","13.6050","0.0000","0.0000","24.5655","19.8333","20.2728","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","30.5655","0.0000","1.2101","0.6955","1.5501","17.0606","32.0503","49.1109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","0.0099","0.8097","0.0000","0.0099","0.3100","1.6194","15.0000","0.0000","25.4777","0.0000","0.1541","3.5302","6600.0000","2.4363","46.2549","78.2544","3.8402","6602.4291","0.0000","1.6033","0.0785","1.4471","6.9790","50.2619","57.2408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.5793","0.0000","1.5764","3.1558","51.1323","54.2881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.0000","0.0000","0.0000","0.0000","61.7849","560.3668","11.0000","29.1594","15.2630","33.1581","11.3668","6.6903","2400.0000","2.8464","62.3866","66.1531","68.4752","2960.3668","0.4633","8.9745","2.9810","0.0570","80.9510","33.1113","114.0623","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","0.0000","0.0000","0.0000","0.0000","42.1783","748.8538","12.0321","26.4414","15.3059","28.5931","14.8937","1.7289","2080.0000","3.2246","51.6933","44.1752","43.9072","2828.8538","3.3467","4.9053","1.3139","0.6213","54.0943","39.4716","93.5659","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","5.1088","92.0000","0.0000","0.0000","156.5930","758.7387","16.0409","47.3668","20.0749","65.6532","30.8420","10.6829","2400.0000","2.6527","68.8044","105.5775","167.2759","3250.7387","0.3877","4.7515","3.0164","0.3449","180.8852","39.1267","220.0119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","3.3234","59.0000","0.0000","0.0000","87.3749","496.2725","15.3202","49.3494","19.9693","54.2425","17.5004","12.5319","1760.0000","2.7621","66.2469","110.8475","99.9068","2315.2725","2.2048","5.7305","0.7904","0.6883","112.6441","38.9056","151.5497","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.0000","0.0000","0.0000","0.0000","26.8087","662.2517","6.2614","19.5471","17.0957","26.8285","16.2832","4.2905","640.0000","6.5083","32.1816","37.3262","31.0992","1302.2517","3.3879","1.1570","0.0000","0.1221","35.7662","29.6650","65.4312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","0.0000","0.0000","0.0000","0.0000","17.8913","911.8696","4.2564","52.2392","15.0267","18.4792","1.3980","5.7490","4500.0000","2.8899",".","18.4792","23.6403","5411.8696","0.0000","2.0423","0.4379","0.0000","26.1205","18.8565","44.9769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","0.8709","6.0000","0.0000","0.0000","38.4408","630.7804","10.9421","27.3282","15.8441","36.5484","13.5320","18.7894","8560.0000","2.9457","76.4104","79.8333","57.2302","9196.7804","17.6425","5.4021","0.7798","0.4096","82.3351","32.7210","115.0561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","0.0000","0.0000","0.0000","0.0000","49.8537","499.2359","11.6889","26.7510","18.7309","36.4663","15.5634","15.0196","8560.0000","2.8620","73.4291","89.8432","64.8733","9059.2359","1.0451","4.9001","1.6710","0.3998","72.8893","41.1571","114.0464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.0000","0.0000","0.0000","0.0000","60.7370","799.7962","6.2987","38.6016","18.8815","44.7210","26.6669","0.0000","0.0000","0.0000","0.0000","44.7210","60.7370","799.7962","3.1663","2.1848","0.7483","0.0000","66.8364","33.6310","100.4674","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","0.0000","0.0000","0.0000","0.0000","5.5292","173.2043","6.2000","37.6284","17.9939","34.7019","4.9181","0.0000","0.0000","0.0000","0.0000","34.7019","5.5292","173.2043","0.0000","1.4230","0.5540","0.0000","7.5063","34.0827","41.5890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","4.9315","7.0000","0.0000","0.0000","130.5691","603.0000","20.8852","43.2616","22.2306","50.5773","24.7597","5.6223","4900.0000","3.2884","55.7628","97.3714","136.1914","5510.0000","1.0319","2.0900","0.8585","0.9406","146.0438","56.3535","202.3974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","2.0312","9.0000","0.0000","2.0312","13.7202","351.0000","10.5972","50.6390","17.3148","42.6015","5.2430","3.4786","5200.0000","2.7693","47.5097","105.0774","17.1989","5560.0000","0.0000","3.4422","0.3352","1.0966","24.1041","31.6908","55.7949","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","6.5332","10800.0000","2.6187","50.6165","50.6165","6.5332","10800.0000","0.0000","3.4918","0.0000","1.0068","11.0318","29.6880","40.7198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","4.8072","28.0000","0.0000","0.0000","0.0000","0.0000","3.8750","20.6646","0.0000","0.0000","0.0000","0.0656","200.0000","2.2095","38.1156","38.1156","0.0656","228.0000","0.0000","0.4476","0.0000","1.6266","6.9471","18.8391","25.7862","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","14.1880","18.0000","0.0000","0.0000","155.1833","692.0000","21.6901","39.6110","23.7011","67.7770","32.6344","3.4389","1300.0000","4.7154","58.2651","82.6308","158.6222","2010.0000","3.1458","6.0338","0.6141","0.5945","183.1983","43.8748","227.0731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","1.8225","4.0000","0.0000","0.0000","12.9849","346.0000","13.6571","28.5218","15.1569","27.7056","5.2317","5.1837","5100.0000","3.3340","46.0503","81.9474","18.1686","5450.0000","0.8113","4.0724","0.7924","0.5598","26.2270","32.3973","58.6243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.2920","10.0000","0.0000","0.2920","0.0000","0.0000","7.0000","0.0000","0.0000","0.0000","0.0000","9.7013","9000.0000","3.2522","53.6921","53.6921","9.7013","9010.0000","0.0000","3.3627","0.0000","1.8027","15.1587","27.1855","42.3442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
